Description,Qty,Area of Glass, Glass Cost, Sash Perimeter, Wood Cost,Installation Cost,Sash + Installation, Unit Tax, Total Tax, Total Cost - Tax
22x56 Casement Window,1,6.62 SqFt, $132,14ft, $350, $450, $940, $29.75, $29.75, $940
22x56 Fixed Window,1,6.62 SqFt, $132,14ft, $350, $300, $790, $29.75, $29.75, $790
22x27 Fixed Window,1,3.00 SqFt, $60,9ft, $225, $300, $590, $19.12, $19.12, $590
22x50 Casement Window,1,5.88 SqFt, $117,13ft, $325, $450, $900, $27.63, $27.63, $900
22x50 Single Hung Window,2,6.12 SqFt, $122,18ft, $450, $550, $1130, $38.25, $76.50, $2260
26x50 Single Hung Window,1,7.18 SqFt, $143,20ft, $500, $550, $1210, $42.50, $42.50, $1210
15x50 Casement Window,1,3.59 SqFt, $71,12ft, $300, $350, $730, $25.50, $25.50, $730
15x50 Fixed Window,1,3.59 SqFt, $71,12ft, $300, $300, $680, $25.50, $25.50, $680
21x50 Single Hung Window,3,6.00 SqFt, $120,18ft, $450, $550, $1120, $38.25, $114.75, $3360
46x50 Fixed Window,1,13.71 SqFt, $274,17ft, $425, $300, $1000, $36.12, $36.12, $1000
24x50 Fixed Window,1,6.53 SqFt, $130,13ft, $325, $300, $760, $27.63, $27.63, $760
21x50 Single Hung Window,2,6.00 SqFt, $120,18ft, $450, $550, $1120, $38.25, $76.50, $2240
26x50 Single Hung Window,1,7.18 SqFt, $143,20ft, $500, $550, $1210, $42.50, $42.50, $1210
21x44 Single Hung Window,1,6.00 SqFt, $120,17ft, $425, $550, $1100, $36.12, $36.12, $1100
 , , , , , , , , Total:, $609.88, $17771
 , , , , , , , , Total:, $18379.88
