Description,Qty,Unit,Total
22x56 Casement Window,1, $940, $940
22x56 Fixed Window,1, $790, $790
22x27 Fixed Window,1, $590, $590
22x50 Casement Window,1, $900, $900
22x50 Single Hung Window,2, $1130, $2260
26x50 Single Hung Window,1, $1210, $1210
15x50 Casement Window,1, $730, $730
15x50 Fixed Window,1, $680, $680
21x50 Single Hung Window,3, $1120, $3360
46x50 Fixed Window,1, $1000, $1000
24x50 Fixed Window,1, $760, $760
21x50 Single Hung Window,2, $1120, $2240
26x50 Single Hung Window,1, $1210, $1210
21x44 Single Hung Window,1, $1100, $1100
Wood: Douglas Fir
Glass: Dual Pane
Installation Included
Disposal and removal of old windows
"Coat of Primer, Interior and Exterior"
,,Subtotal:, $17770
,,Total Tax:, $609.875
,,Total Cost:, $18379.9
